Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
43,No,Travel_Rarely,1275,Research & Development,1,3,Medical,1,1,3,Male,98,3,1,Laboratory Technician,4,Divorced,4412,5568,2,Y,No,15,3,4,80,0,7,1,3,2,1,1,1
23,No,Travel_Rarely,1283,Sales,2,1,Marketing,1,3,4,Male,34,3,4,Manager,3,Married,14328,6423,2,Y,No,14,3,1,80,1,12,1,4,9,7,1,7
46,No,Travel_Rarely,174,Sales,17,1,Technical Degree,1,5,4,Male,66,3,4,Manager,3,Single,15381,15004,1,Y,Yes,18,4,2,80,2,8,5,3,7,4,2,3
28,No,Travel_Rarely,1472,Research & Development,16,3,Human Resources,1,7,2,Female,85,3,1,Laboratory Technician,2,Single,5602,5986,0,Y,No,22,3,1,80,3,11,2,3,6,5,1,5
33,Yes,Travel_Rarely,781,Research & Development,14,3,Life Sciences,1,9,2,Male,80,2,1,Research Scientist,1,Single,4137,21697,2,Y,No,19,3,4,80,0,4,4,2,3,2,0,2
39,No,Non-Travel,286,Research & Development,26,3,Marketing,1,11,4,Female,85,3,2,Manufacturing Director,3,Single,10570,8240,1,Y,No,22,3,1,80,1,26,4,3,23,16,3,6
55,No,Travel_Rarely,438,Research & Development,5,3,Life Sciences,1,13,3,Male,71,3,2,Healthcare Representative,3,Married,6387,16188,0,Y,No,13,3,3,80,0,8,4,3,6,2,2,1
60,No,Non-Travel,1292,Sales,29,2,Medical,1,15,4,Male,42,3,4,Manager,3,Divorced,14270,15088,3,Y,No,12,4,4,80,0,16,2,3,12,11,2,5
42,No,Travel_Rarely,924,Research & Development,29,3,Life Sciences,1,17,3,Male,63,4,2,Healthcare Representative,4,Single,8597,26489,0,Y,No,15,3,2,80,1,10,1,2,8,4,2,3
35,No,Non-Travel,152,Sales,8,3,Life Sciences,1,19,3,Male,63,3,2,Sales Executive,3,Married,6930,2309,3,Y,No,11,3,3,80,1,16,4,3,11,8,1,8
